"","Year","County","Acres seeded ","Acres harvested","Yield (bushels/ac)","Production ('000 bushels)","Production ('000 tonnes)"
"214",2008,"Haliburton","0","0","0","0","0"
"215",2008,"Hastings","8000","7500","141","1057.50","26.86"
"216",2008,"Kawartha Lakes","20000","18900","133","2513.70","63.85"
"217",2008,"Muskoka","0","0","0","0","0"
"218",2008,"Northumberland","45000","42400","143.90","6101.36","154.98"
"219",2008,"Parry Sound","0","0","0","0","0"
"220",2008,"Peterborough","12000","11300","121","1367.30","34.73"
"221",2008,"Prince Edward","16500","15600","140.80","2196.48","55.79"
"222",2008,"York","28000","26400","138","3643.20","92.54"
"223",2008,"Frontenac","3000","3000","152","456","11.58"
"224",2008,"Lanark","6500","6400","161","1030.40","26.17"
"225",2008,"Leeds and Grenville","17000","16800","123","2066.40","52.49"
"226",2008,"Lennox and Addington","6000","5900","141","831.90","21.13"
"227",2008,"Ottawa","41000","40400","145","5858","148.80"
"228",2008,"Prescott and Russell","52000","51200","141","7219.20","183.38"
"229",2008,"Renfrew","18000","17700","137.90","2440.83","62"
"230",2008,"Stormont, Dundas and Glengarry","90000","88700","146","12950.20","328.95"
"231",2008,"Algoma","0","0","0","0","0"
"232",2008,"Cochrane","0","0","0","0","0"
"233",2008,"Greater Sudbury","0","0","0","0","0"
"234",2008,"Kenora","0","0","0","0","0"
"235",2008,"Manitoulin","0","0","0","0","0"
"236",2008,"Nipissing","0","0","0","0","0"
"237",2008,"Rainy River","0","0","0","0","0"
"238",2008,"Sudbury","0","0","0","0","0"
"239",2008,"Thunder Bay","0","0","0","0","0"
"240",2008,"Timiskaming","0","0","0","0","0"
"241",2009,"Brant","38000","37600","146","5490","139.45"
"242",2009,"Chatham-Kent","130000","128800","165","21252","539.83"
"243",2009,"Elgin","95000","94100","158","14868","377.67"
"244",2009,"Essex","39000","38600","161","6215","157.87"
"245",2009,"Haldimand-Norfolk","85000","84200","163","13725","348.63"
"246",2009,"Hamilton","29000","28700","144","4133","104.98"
"247",2009,"Lambton","100000","99100","156","15460","392.70"
"248",2009,"Middlesex","140000","138700","154","21360","542.57"
"249",2009,"Niagara","22000","21800","137","2987","75.87"
"250",2009,"Oxford","165000","163600","153","25031","635.82"
"251",2009,"Bruce","65000","64400","124","7986","202.86"
"252",2009,"Dufferin","7000","6900","99","683","17.35"
"253",2009,"Grey","13000","12900","118","1522","38.66"
"254",2009,"Halton","13000","12900","124","1600","40.64"
"255",2009,"Huron","180000","178500","134","23919","607.57"
"256",2009,"Peel","7000","6900","132","911","23.14"
"257",2009,"Perth","110000","109000","139","15151","384.86"
"258",2009,"Simcoe","38000","37700","121","4562","115.88"
"259",2009,"Waterloo","52000","51500","129","6644","168.77"
"260",2009,"Wellington","58000","57500","120","6900","175.27"
"261",2009,"Durham","73000","72000","114","8208","208.49"
"262",2009,"Haliburton","0","0","0","0","0"
"263",2009,"Hastings","11000","10900","121","1319","33.50"
"264",2009,"Kawartha Lakes","20000","19700","108","2128","54.05"
"265",2009,"Muskoka","0","0","0","0","0"
"266",2009,"Northumberland","21000","20700","134","2774","70.46"
"267",2009,"Parry Sound","0","0","0","0","0"
"268",2009,"Peterborough","7000","6900","113","780","19.81"
"269",2009,"Prince Edward","15000","14800","109","1613","40.97"
"270",2009,"York","18000","17800","123","2189","55.60"
"271",2009,"Frontenac","4000","3800","90","342","8.69"
"272",2009,"Lanark","8000","7700","138","1063","27"
"273",2009,"Leeds and Grenville","13000","12400","131","1624","41.25"
"274",2009,"Lennox and Addington","10000","9600","116","1114","28.30"
"275",2009,"Ottawa","30000","28700","148","4248","107.90"
"276",2009,"Prescott and Russell","45000","43100","142","6120","155.46"
"277",2009,"Renfrew","11000","10500","120","1260","32.01"
"278",2009,"Stormont, Dundas and Glengarry","110000","105200","148","15570","395.50"
"279",2009,"Algoma","0","0","0","0","0"
"280",2009,"Cochrane","0","0","0","0","0"
"281",2009,"Greater Sudbury","0","0","0","0","0"
"282",2009,"Kenora","0","0","0","0","0"
"283",2009,"Manitoulin","0","0","0","0","0"
"284",2009,"Nipissing","0","0","0","0","0"
"285",2009,"Rainy River","0","0","0","0","0"
"286",2009,"Sudbury","0","0","0","0","0"
"287",2009,"Thunder Bay","0","0","0","0","0"
"288",2009,"Timiskaming","0","0","0","0","0"
"289",2010,"Brant","45000","44900","161","7229","183.63"
"290",2010,"Chatham-Kent","145000","144500","179","25866","657.03"
"291",2010,"Elgin","120000","119600","171","20452","519.51"
"292",2010,"Essex","52000","51800","158","8184","207.88"
"293",2010,"Haldimand-Norfolk","90000","89700","169","15159","385.06"
"294",2010,"Hamilton","31000","30900","156","4820","122.43"
"295",2010,"Lambton","100000","99700","147","14656","372.28"
"296",2010,"Middlesex","150000","149500","166","24817","630.39"
"297",2010,"Niagara","26000","25900","141","3652","92.77"
"298",2010,"Oxford","150000","149600","176","26330","668.82"
"299",2010,"Bruce","65000","64300","152","9774","248.27"
"300",2010,"Dufferin","10000","9900","148","1465","37.21"
"301",2010,"Grey","16000","15800","144","2275","57.79"
"302",2010,"Halton","14000","13800","136","1877","47.68"
"303",2010,"Huron","155000","153300","172","26368","669.78"
"304",2010,"Peel","12000","11900","147","1749","44.43"
"305",2010,"Perth","115000","113700","170","19329","490.98"
"306",2010,"Simcoe","40000","39500","162","6399","162.54"
"307",2010,"Waterloo","39000","38600","162","6253","158.83"
"308",2010,"Wellington","62000","61300","155","9502","241.36"
"309",2010,"Durham","58000","57600","162","9331","237.02"
"310",2010,"Haliburton","0","0","0","0","0"
"311",2010,"Hastings","20000","19900","159","3164","80.37"
"312",2010,"Kawartha Lakes","18000","17900","160","2864","72.75"
"313",2010,"Muskoka","0","0","0","0","0"
"314",2010,"Northumberland","31000","30800","150","4620","117.35"
"315",2010,"Parry Sound","0","0","0","0","0"
"316",2010,"Peterborough","9000","8900","150","1335","33.91"
"317",2010,"Prince Edward","16000","15900","140","2226","56.54"
"318",2010,"York","18000","17900","148","2649","67.29"
"319",2010,"Frontenac","4000","3900","134","523","13.28"
"320",2010,"Lanark","10000","9800","163","1597","40.57"
"321",2010,"Leeds and Grenville","20000","19700","148","2916","74.07"
"322",2010,"Lennox and Addington","8000","7900","150","1185","30.10"
"323",2010,"Ottawa","40000","39400","170","6698","170.14"
"324",2010,"Prescott and Russell","62000","61000","166","10126","257.21"
"325",2010,"Renfrew","11000","10800","140","1512","38.41"
"326",2010,"Stormont, Dundas and Glengarry","110000","108300","165","17870","453.92"
"327",2010,"Algoma","0","0","0","0","0"
"328",2010,"Cochrane","0","0","0","0","0"
"329",2010,"Greater Sudbury","0","0","0","0","0"
"330",2010,"Kenora","0","0","0","0","0"
"331",2010,"Manitoulin","0","0","0","0","0"
"332",2010,"Nipissing","0","0","0","0","0"
"333",2010,"Rainy River","0","0","0","0","0"
"334",2010,"Sudbury","0","0","0","0","0"
"335",2010,"Thunder Bay","0","0","0","0","0"
"336",2010,"Timiskaming","0","0","0","0","0"
"337",2011,"Brant","44948","44948","159","7146.73","181.54"
"338",2011,"Chatham-Kent","157185","129522","170","22018.74","559.31"
"339",2011,"Elgin","110906","95359.86","169","16115.82","409.36"
"340",2011,"Essex","53322","53322","163.33","8708.95","221.22"
"341",2011,"Haldimand-Norfolk","90423","83224","155.60","12949.65","328.94"
"342",2011,"Hamilton","25106","23909.22","150","3586.38","91.10"
"343",2011,"Lambton","100813","100813","140.80","14197.01","360.62"
"344",2011,"Middlesex","176493","168401","148.81","25059.95","636.56"
"345",2011,"Niagara","25976","21402","145.31","3109.91","79"
"346",2011,"Oxford","129181","129181","170","21960.77","557.83"
"347",2011,"Bruce","63921","63921","133","8501.49","215.95"
"348",2011,"Dufferin","11808","9702.55","142","1377.76","35"
"349",2011,"Grey","22142","22142","139","3077.74","78.18"
"350",2011,"Halton","12930","10798.20","124","1338.98","34.01"
"351",2011,"Huron","184528","143493.97","161","23102.53","586.84"
"352",2011,"Peel","13244","13244","140","1854.16","47.10"
"353",2011,"Perth","126591","121424","160.48","19486.63","494.99"
"354",2011,"Simcoe","56881","56881","147.90","8412.70","213.69"
"355",2011,"Waterloo","43766","43766","145.60","6372.33","161.87"
"356",2011,"Wellington","80363","80363","140.10","11258.86","285.99"
"357",2011,"Durham","54575","54575","145.29","7929.28","201.41"
"358",2011,"Haliburton","0","0","0","0","0"
"359",2011,"Hastings","20204","16333.51","158","2580.69","65.55"
"360",2011,"Kawartha Lakes","18741","18741","157","2942.34","74.74"
"361",2011,"Muskoka","0","0","0","0","0"
"362",2011,"Northumberland","37708","26439.33","142","3754.47","95.37"
"363",2011,"Parry Sound","484","0","0","0","0"
"364",2011,"Peterborough","12509","11094.17","149","1653.03","41.99"
"365",2011,"Prince Edward","16680","11464.49","141","1616.49","41.06"
"366",2011,"York","25064","16879.68","147","2481.31","63.03"
"367",2011,"Frontenac","5821","4665.48","136.66","637.57","16.20"
"368",2011,"Lanark","8907","7038","143","1006.43","25.56"
"369",2011,"Leeds and Grenville","24778","24778","146.26","3624.04","92.06"
"370",2011,"Lennox and Addington","11697","10415.21","121.87","1269.26","32.24"
"371",2011,"Ottawa","52172","44815.81","135.70","6081.44","154.48"
"372",2011,"Prescott and Russell","65395","55458.82","126.88","7036.82","178.74"
"373",2011,"Renfrew","15750","14903.73","139.65","2081.32","52.87"
"374",2011,"Stormont, Dundas and Glengarry","127887","125844.83","149.58","18823.59","478.14"
